,0,1
0,2015-07-30,0.0010336666666666667
1,2015-07-31,0.004607666666666667
2,2015-08-01,0.005168666666666666
3,2015-08-02,0.006068666666666667
4,2015-08-03,0.006656
5,2015-08-04,0.007314333333333333
6,2015-08-05,0.007673666666666666
7,2015-08-06,0.007859333333333334
8,2015-08-07,0.00847
9,2015-08-08,0.009313333333333333
10,2015-08-09,0.009729
11,2015-08-10,0.010685
12,2015-08-11,0.011927666666666665
13,2015-08-12,0.012642666666666668
14,2015-08-13,0.013831666666666666
15,2015-08-14,0.017359333333333334
16,2015-08-15,0.020064666666666665
17,2015-08-16,0.020416333333333335
18,2015-08-17,0.022770666666666665
19,2015-08-18,0.023762333333333333
20,2015-08-19,0.023257333333333335
21,2015-08-20,0.017317666666666665
22,2015-08-21,0.019606333333333333
23,2015-08-22,0.020481
24,2015-08-23,0.021188333333333337
25,2015-08-24,0.02201433333333333
26,2015-08-25,0.020099000000000002
27,2015-08-26,0.020694666666666663
28,2015-08-27,0.02088833333333333
29,2015-08-28,0.02093866666666667
30,2015-08-29,0.020832666666666666
31,2015-08-30,0.019905999999999997
32,2015-08-31,0.021635
33,2015-09-01,0.022837333333333334
34,2015-09-02,0.022902666666666665
35,2015-09-03,0.021637666666666666
36,2015-09-04,0.022807666666666667
37,2015-09-05,0.024373000000000002
38,2015-09-06,0.025484999999999997
39,2015-09-07,0.024730000000000002
40,2015-09-08,0.021451666666666664
41,2015-09-09,0.022591
42,2015-09-10,0.023039333333333332
43,2015-09-11,0.024795666666666664
44,2015-09-12,0.024796000000000002
45,2015-09-13,0.025313000000000002
46,2015-09-14,0.023682666666666668
47,2015-09-15,0.022915333333333333
48,2015-09-16,0.02236533333333333
49,2015-09-17,0.02114066666666667
50,2015-09-18,0.020194666666666666
51,2015-09-19,0.02097
52,2015-09-20,0.024363666666666662
53,2015-09-21,0.024277333333333335
54,2015-09-22,0.024583333333333332
55,2015-09-23,0.02614733333333333
56,2015-09-24,0.026335333333333332
57,2015-09-25,0.02671866666666667
58,2015-09-26,0.026285666666666666
59,2015-09-27,0.025297666666666666
60,2015-09-28,0.02324533333333333
61,2015-09-29,0.021517333333333333
62,2015-09-30,0.020590666666666667
63,2015-10-01,0.022748
64,2015-10-02,0.023592333333333337
65,2015-10-03,0.024361333333333336
66,2015-10-04,0.023229
67,2015-10-05,0.02374966666666667
68,2015-10-06,0.022627333333333333
69,2015-10-07,0.022883
70,2015-10-08,0.023327333333333335
71,2015-10-09,0.022706999999999995
72,2015-10-10,0.022315
73,2015-10-11,0.023628333333333335
74,2015-10-12,0.023903333333333335
75,2015-10-13,0.024374666666666666
76,2015-10-14,0.02417933333333333
77,2015-10-15,0.022913666666666666
78,2015-10-16,0.021255333333333334
79,2015-10-17,0.02249733333333333
80,2015-10-18,0.02160933333333333
81,2015-10-19,0.02141433333333333
82,2015-10-20,0.02128033333333333
83,2015-10-21,0.021400333333333337
84,2015-10-22,0.020226666666666667
85,2015-10-23,0.022699
86,2015-10-24,0.023583999999999997
87,2015-10-25,0.024619000000000002
88,2015-10-26,0.022873666666666667
89,2015-10-27,0.02474066666666667
90,2015-10-28,0.024587666666666664
91,2015-10-29,0.026829000000000002
92,2015-10-30,0.028159666666666666
93,2015-10-31,0.02901733333333333
94,2015-11-01,0.029382666666666668
95,2015-11-02,0.027627666666666665
96,2015-11-03,0.026834
97,2015-11-04,0.028745333333333335
98,2015-11-05,0.027121000000000003
99,2015-11-06,0.027216666666666667
100,2015-11-07,0.026099333333333335
101,2015-11-08,0.027091333333333332
102,2015-11-09,0.026739666666666665
103,2015-11-10,0.02723666666666667
104,2015-11-11,0.027279333333333336
105,2015-11-12,0.027883666666666668
106,2015-11-13,0.02830133333333333
107,2015-11-14,0.02858933333333333
108,2015-11-15,0.029150000000000006
109,2015-11-16,0.028824
110,2015-11-17,0.028256
111,2015-11-18,0.029364
112,2015-11-19,0.02973366666666667
113,2015-11-20,0.025795333333333337
114,2015-11-21,0.026019666666666667
115,2015-11-22,0.026250333333333334
116,2015-11-23,0.026314
117,2015-11-24,0.026129
118,2015-11-25,0.025365333333333333
119,2015-11-26,0.02522366666666666
120,2015-11-27,0.026315999999999996
121,2015-11-28,0.026707666666666668
122,2015-11-29,0.026555333333333334
123,2015-11-30,0.02693133333333333
124,2015-12-01,0.027354666666666666
125,2015-12-02,0.025588333333333334
126,2015-12-03,0.026988333333333333
127,2015-12-04,0.025884666666666667
128,2015-12-05,0.026754333333333335
129,2015-12-06,0.024982666666666667
130,2015-12-07,0.025070666666666668
131,2015-12-08,0.023964999999999997
132,2015-12-09,0.025711333333333333
133,2015-12-10,0.02613966666666667
134,2015-12-11,0.026891333333333333
135,2015-12-12,0.027185333333333336
136,2015-12-13,0.030331666666666663
137,2015-12-14,0.029782333333333338
138,2015-12-15,0.030557666666666667
139,2015-12-16,0.02863866666666667
140,2015-12-17,0.029581333333333334
141,2015-12-18,0.029153333333333337
142,2015-12-19,0.029230333333333334
143,2015-12-20,0.028353
144,2015-12-21,0.027534333333333338
145,2015-12-22,0.02934166666666667
146,2015-12-23,0.028762
147,2015-12-24,0.027621000000000003
148,2015-12-25,0.027709
149,2015-12-26,0.02741266666666667
150,2015-12-27,0.028043333333333333
151,2015-12-28,0.027786
152,2015-12-29,0.027912000000000003
153,2015-12-30,0.027541333333333334
154,2015-12-31,0.028118000000000004
155,2016-01-01,0.027378333333333334
156,2016-01-02,0.027326666666666666
157,2016-01-03,0.02802033333333333
158,2016-01-04,0.027936666666666665
159,2016-01-05,0.027958666666666663
